method,class_name,attribution_score,consistency_score,ablation_score,counterfactual_consistency,causal_score,physics_violation_score,frequency_bias_hz,temporal_smearing
integrated_gradients,fault_heavy,0.6841579261824667,0.5967366242603712,0.6251165913850506,0.5785988050051492,0.6018576981950999,0.37412294176559696,9.746153846153845,0.4032633757396288
saliency,fault_heavy,0.6508128942076415,0.5864114759402739,0.6122471119878381,0.5692171476150494,0.5907321298014437,0.3921213846372702,11.623076923076923,0.4135885240597261
smoothgrad,fault_heavy,0.6901076452469336,0.5718343154783587,0.6147463130257717,0.5639174898694213,0.5893319014475964,0.38874124126544973,9.923076923076923,0.4281656845216414
integrated_gradients,fault_light,0.6646262778336061,0.6264859139891871,0.11676745026587486,0.430341931272483,0.27355469076917893,0.36080063139600654,6.331578947368421,0.3735140860108129
smoothgrad,fault_light,0.7419332175131228,0.5570595032551037,0.1136375997157723,0.39237113765748993,0.25300436868663106,0.38131592532555664,5.578947368421052,0.44294049674489655
saliency,fault_light,0.7419332175131228,0.5599050062980581,0.11216579089719873,0.3934981630288532,0.25283197696302595,0.37941892329692045,5.578947368421052,0.44009499370194216
integrated_gradients,normal,0.9706441349009068,,3.004927117293327e-08,1.0,0.5000000150246356,0.009785288366364352,0.3000000000000002,0.0
saliency,normal,0.971085253858962,,3.004927117293327e-08,1.0,0.5000000150246356,0.009638248713679258,0.29545454545454564,0.0
smoothgrad,normal,0.971085253858962,,3.004927117293327e-08,1.0,0.5000000150246356,0.009638248713679258,0.29545454545454564,0.0
