method,attribution_score,consistency_score,ablation_score,counterfactual_consistency,causal_score,physics_violation_score,frequency_bias_hz,temporal_smearing
integrated_gradients,0.794002283093158,0.6144002650368556,0.19157588711372678,0.6981163177637799,0.44484610243875333,0.22100160339883151,4.696296296296296,0.2285035466448263
saliency,0.8133550804138119,0.5706732595902082,0.186858576740234,0.6828942225285899,0.43487639963441194,0.23182553730790637,4.881481481481482,0.25441584616876556
smoothgrad,0.822814927886234,0.563061770720801,0.18797809490775316,0.6812218330332368,0.43459996397049494,0.23167926276550677,4.472222222222222,0.25892635809137726
